image_name,closest_phash_image,phash_distance,closest_clip_image,clip_cosine_similarity
01619.jpg,13438.jpg,10,27708.jpg,0.8208618630448429
01995.jpg,19001.jpg,14,11192.jpg,0.8793466113488115
00045.jpg,19219.jpg,12,18288.jpg,0.8465601487045218
01581.jpg,03943.jpg,10,00690.jpg,0.8230883495547807
00963.jpg,20961.jpg,6,02597.jpg,0.8541981335547648
01456.jpg,00523.jpg,10,28291.jpg,0.8801433333905933
01053.jpg,07054.jpg,10,08389.jpg,0.8776177988640227
00523.jpg,01456.jpg,10,18761.jpg,0.8842880079110652
00416.jpg,08731.jpg,12,21902.jpg,0.9336755738590363
00766.jpg,22587.jpg,6,22587.jpg,0.9658595822501241
00866.jpg,27728.jpg,12,20567.jpg,0.9140132543649976
01526.jpg,17672.jpg,2,17672.jpg,0.983107949078633
00910.jpg,06194.jpg,12,11833.jpg,0.9423088319192647
01823.jpg,00614.jpg,10,19813.jpg,0.8403468084032666
01206.jpg,29045.jpg,8,24940.jpg,0.853685723927803
01074.jpg,03294.jpg,8,22015.jpg,0.8688620142012733
00645.jpg,09501.jpg,8,13971.jpg,0.9710131507352335
01593.jpg,05035.jpg,14,08858.jpg,0.8401009432321223
01531.jpg,26769.jpg,14,11395.jpg,0.8952129061747369
00740.jpg,28721.jpg,12,15614.jpg,0.8921884348144282
01202.jpg,03974.jpg,10,10521.jpg,0.8167820692305711
00934.jpg,10050.jpg,10,23022.jpg,0.8036830236779933
01116.jpg,25757.jpg,8,22386.jpg,0.8015382224190992
00618.jpg,25307.jpg,10,29930.jpg,0.8906186727731527
00366.jpg,08965.jpg,8,00259.jpg,0.9145738765621991
00259.jpg,03567.jpg,6,25521.jpg,0.9245589634768103
01988.jpg,25615.jpg,14,28964.jpg,0.8804571547269693
00220.jpg,11453.jpg,8,11833.jpg,0.9353271395457465
00498.jpg,23740.jpg,2,23740.jpg,0.9681016178698918
00341.jpg,28360.jpg,0,28360.jpg,1.0000000000000002
01991.jpg,14668.jpg,12,11192.jpg,0.856354223062808
01016.jpg,27054.jpg,8,02597.jpg,0.9076940645945146
00507.jpg,25046.jpg,8,11478.jpg,0.8377968021472326
00363.jpg,13516.jpg,8,25113.jpg,0.8985319327376797
01954.jpg,05246.jpg,14,27020.jpg,0.8269358312922265
00775.jpg,28714.jpg,10,10724.jpg,0.8354463177880624
00120.jpg,08714.jpg,12,28148.jpg,0.8461146989292353
00659.jpg,26131.jpg,14,29660.jpg,0.9270315643707558
01201.jpg,17825.jpg,12,17377.jpg,0.8090133446051472
00682.jpg,01989.jpg,8,23369.jpg,0.9450730154726844
01689.jpg,01296.jpg,8,01296.jpg,0.9665270377512142
00869.jpg,27558.jpg,10,15945.jpg,0.8551915495803413
00323.jpg,27270.jpg,10,13839.jpg,0.8912931745944128
00318.jpg,25520.jpg,12,02548.jpg,0.8745498773901538
00560.jpg,00332.jpg,10,17066.jpg,0.8840123418769796
00597.jpg,03482.jpg,12,27868.jpg,0.8392176739155646
01364.jpg,22802.jpg,10,24311.jpg,0.9383087712175411
01185.jpg,07057.jpg,8,29848.jpg,0.9140075352356247
01710.jpg,25885.jpg,10,23679.jpg,0.9352827016058749
01347.jpg,17002.jpg,10,25364.jpg,0.9042178700971544
00962.jpg,16978.jpg,12,17787.jpg,0.9249046832339293
00038.jpg,09527.jpg,6,10687.jpg,0.8929997155355928
01335.jpg,02971.jpg,12,04583.jpg,0.8748260664394287
00708.jpg,06205.jpg,8,28963.jpg,0.9454625382713799
00556.jpg,02559.jpg,8,20842.jpg,0.8578910126332993
00506.jpg,03659.jpg,6,24569.jpg,0.8657946440524249
00287.jpg,10835.jpg,10,10577.jpg,0.907882306613412
01931.jpg,03004.jpg,14,00530.jpg,0.7764945732793295
00321.jpg,17999.jpg,8,17140.jpg,0.8832723182443792
00093.jpg,10591.jpg,8,19635.jpg,0.9217751250691741
01367.jpg,17084.jpg,6,10414.jpg,0.9105056705490724
00707.jpg,11108.jpg,10,23864.jpg,0.8668508133566286
01759.jpg,19862.jpg,12,01846.jpg,0.9190225462921106
00913.jpg,16440.jpg,10,19596.jpg,0.8434403720982742
01929.jpg,11046.jpg,16,02330.jpg,0.9760141690500274
00378.jpg,23332.jpg,12,11365.jpg,0.8684383816213472
00299.jpg,26141.jpg,6,24645.jpg,0.9723224826236453
01873.jpg,17583.jpg,14,04137.jpg,0.8181070695207752
00306.jpg,06205.jpg,8,26159.jpg,0.8428192645604402
01539.jpg,04735.jpg,10,14672.jpg,0.9271503285699629
00480.jpg,08907.jpg,12,06809.jpg,0.8725548793059554
01433.jpg,22212.jpg,14,18973.jpg,0.7956991651735819
00832.jpg,04598.jpg,8,28813.jpg,0.9013679597810484
01600.jpg,13999.jpg,8,19872.jpg,0.8648691659932889
01584.jpg,00156.jpg,10,19337.jpg,0.9046523827757673
00646.jpg,06489.jpg,8,24910.jpg,0.882642426970596
00729.jpg,19490.jpg,6,19273.jpg,0.9080164564916922
01774.jpg,14721.jpg,12,08978.jpg,0.9102004259041965
00431.jpg,29887.jpg,8,11159.jpg,0.8359094089807256
00500.jpg,02032.jpg,6,12274.jpg,0.8813719327502865
01626.jpg,00476.jpg,14,16314.jpg,0.8906720046471934
01135.jpg,03935.jpg,10,10952.jpg,0.9107485175094123
01405.jpg,24016.jpg,8,12384.jpg,0.8633951422460371
00268.jpg,10473.jpg,8,23831.jpg,0.8855998793264803
01768.jpg,13229.jpg,10,14635.jpg,0.9004232583532362
01720.jpg,22359.jpg,10,06259.jpg,0.82050246772236
01680.jpg,09990.jpg,8,09863.jpg,0.9229840095013865
01419.jpg,24520.jpg,12,02217.jpg,0.8752841877704955
00092.jpg,10592.jpg,10,29518.jpg,0.9726878774411268
01846.jpg,14767.jpg,12,11184.jpg,0.9350003715619442
01564.jpg,21103.jpg,12,24740.jpg,0.877096787122701
01267.jpg,24012.jpg,10,04522.jpg,0.91812363472091
00077.jpg,00786.jpg,10,18825.jpg,0.9365364973220807
