image_name,closest_phash_image,phash_distance,closest_clip_image,clip_cosine_similarity
01619.jpg,13438.jpg,10,27708.jpg,0.8208618630448429
01995.jpg,19001.jpg,14,11192.jpg,0.8793466113488115
00045.jpg,19219.jpg,12,18288.jpg,0.8465601487045218
01581.jpg,03943.jpg,10,00690.jpg,0.8230883495547807
01456.jpg,00523.jpg,10,28291.jpg,0.8801433333905933
01053.jpg,07054.jpg,10,08389.jpg,0.8776177988640227
00523.jpg,01456.jpg,10,18761.jpg,0.8842880079110652
01823.jpg,00614.jpg,10,19813.jpg,0.8403468084032666
01593.jpg,05035.jpg,14,08858.jpg,0.8401009432321223
01531.jpg,26769.jpg,14,11395.jpg,0.8952129061747369
00740.jpg,28721.jpg,12,15614.jpg,0.8921884348144282
01202.jpg,03974.jpg,10,10521.jpg,0.8167820692305711
00934.jpg,10050.jpg,10,23022.jpg,0.8036830236779933
00618.jpg,25307.jpg,10,29930.jpg,0.8906186727731527
01988.jpg,25615.jpg,14,28964.jpg,0.8804571547269693
01991.jpg,14668.jpg,12,11192.jpg,0.856354223062808
01954.jpg,05246.jpg,14,27020.jpg,0.8269358312922265
00775.jpg,28714.jpg,10,10724.jpg,0.8354463177880624
00120.jpg,08714.jpg,12,28148.jpg,0.8461146989292353
01201.jpg,17825.jpg,12,17377.jpg,0.8090133446051472
00869.jpg,27558.jpg,10,15945.jpg,0.8551915495803413
00323.jpg,27270.jpg,10,13839.jpg,0.8912931745944128
00318.jpg,25520.jpg,12,02548.jpg,0.8745498773901538
00560.jpg,00332.jpg,10,17066.jpg,0.8840123418769796
00597.jpg,03482.jpg,12,27868.jpg,0.8392176739155646
01335.jpg,02971.jpg,12,04583.jpg,0.8748260664394287
01931.jpg,03004.jpg,14,00530.jpg,0.7764945732793295
00707.jpg,11108.jpg,10,23864.jpg,0.8668508133566286
00913.jpg,16440.jpg,10,19596.jpg,0.8434403720982742
00378.jpg,23332.jpg,12,11365.jpg,0.8684383816213472
01873.jpg,17583.jpg,14,04137.jpg,0.8181070695207752
00480.jpg,08907.jpg,12,06809.jpg,0.8725548793059554
01433.jpg,22212.jpg,14,18973.jpg,0.7956991651735819
01626.jpg,00476.jpg,14,16314.jpg,0.8906720046471934
01720.jpg,22359.jpg,10,06259.jpg,0.82050246772236
01419.jpg,24520.jpg,12,02217.jpg,0.8752841877704955
01564.jpg,21103.jpg,12,24740.jpg,0.877096787122701
00376.jpg,22518.jpg,16,26066.jpg,0.7203949230661463
01688.jpg,17843.jpg,10,20322.jpg,0.8689204831694801
01346.jpg,18172.jpg,10,00729.jpg,0.8613687583002534
